antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
type1=Water,"gen=Early(1-3), legendary=No",0.12219451371571072,0.37323358270989193,0.06151288445552785,0.5034013605442177,1.3487568746875143,0.01590578831392011,1.2621186759129575,0.29457156019656033
"legendary=No, type1=Water",gen=Early(1-3),0.11388196176226101,0.4014962593516209,0.06151288445552785,0.5401459854014599,1.3453325474905926,0.01578970280035573,1.3015081344258403,0.2896785152882716
type1=Bug,dual_type=Yes,0.0739817123857024,0.5527847049044057,0.05486284289276808,0.7415730337078652,1.3415223451888147,0.013966883843314959,1.7305287505873,0.27491703389369454
"legendary=No, type1=Bug",dual_type=Yes,0.0714879467996675,0.5527847049044057,0.05236907730673317,0.7325581395348837,1.3252141982864136,0.012851633730857119,1.6721963207922221,0.2642992141649259
type1=Water,gen=Early(1-3),0.12219451371571072,0.4014962593516209,0.06400665004156277,0.5238095238095238,1.3046435965690626,0.014946009871414576,1.256857855361596,0.26601239669421506
"legendary=No, tier=Strong",gen=Recent(7-9),0.20199501246882792,0.2776392352452203,0.07315045719035744,0.36213991769547327,1.304354254454055,0.017068716405163324,1.1324752634542676,0.29240056818181825
tier=Weak,"dual_type=No, legendary=No",0.2119700748129676,0.40980881130507063,0.11305070656691604,0.5333333333333333,1.3014198782961461,0.026183502175566906,1.2646954043462773,0.29390822784810133
tier=VeryWeak,"gen=Early(1-3), legendary=No",0.12718204488778054,0.37323358270989193,0.060681629260182876,0.477124183006536,1.2783527664963537,0.01321301899034625,1.198690773067332,0.2494716242661449
"gen=Recent(7-9), legendary=No",tier=Strong,0.2310889443059019,0.24771404821280132,0.07315045719035744,0.3165467625899281,1.2778716624016224,0.015906479299119897,1.1007131294570591,0.28280098280098287
"gen=Recent(7-9), tier=Strong","dual_type=Yes, legendary=No",0.09891936824605153,0.4771404821280133,0.059850374064837904,0.6050420168067226,1.2680584428893509,0.012651939008118389,1.3238358005694981,0.23459922099220998
"legendary=No, tier=Strong",dual_type=Yes,0.20199501246882792,0.5527847049044057,0.13881961762261014,0.6872427983539094,1.2432377239394783,0.027159864262867345,1.4299120619503871,0.2451721556886227
tier=Strong,dual_type=Yes,0.24771404821280132,0.5527847049044057,0.16874480465502908,0.6812080536912751,1.2323207347227128,0.031812267613039985,1.4028437677735484,0.2506001143074871
dual_type=Yes,tier=Strong,0.5527847049044057,0.24771404821280132,0.16874480465502908,0.3052631578947368,1.2323207347227128,0.031812267613039985,1.082835839693695,0.42154851942058696
"legendary=No, tier=Weak",gen=Mid(4-6),0.21030756442227763,0.32086450540315875,0.0831255195344971,0.3952569169960475,1.2318499252493398,0.015645286893600036,1.123014902830071,0.23833684210526326
type1=Water,"dual_type=No, legendary=No",0.12219451371571072,0.40980881130507063,0.06151288445552785,0.5034013605442177,1.228381007575444,0.011436496041691287,1.1884671881938988,0.21180128992629002
tier=Weak,gen=Mid(4-6),0.2119700748129676,0.32086450540315875,0.0831255195344971,0.39215686274509803,1.2221883572081682,0.015111846319363686,1.1172874265948034,0.2306962025316456
legendary=Yes,dual_type=Yes,0.11305070656691604,0.5527847049044057,0.07564422277639235,0.6691176470588235,1.2104489164086687,0.013151521307565112,1.3515840029555737,0.19602047437098982
